monat_label,jahr,variable,kategorie,sum_anzahl
Januar,2019,Geschlecht,Frauen,2051
Januar,2019,Geschlecht,Männer,712
Januar,2020,Geschlecht,Frauen,2012
Januar,2020,Geschlecht,Männer,658
Februar,2019,Geschlecht,Frauen,1969
Februar,2019,Geschlecht,Männer,599
Februar,2020,Geschlecht,Frauen,1907
Februar,2020,Geschlecht,Männer,649
März,2019,Geschlecht,Frauen,2108
März,2019,Geschlecht,Männer,696
März,2020,Geschlecht,Frauen,2022
März,2020,Geschlecht,Männer,861
April,2019,Geschlecht,Frauen,2144
April,2019,Geschlecht,Männer,649
April,2020,Geschlecht,Frauen,2159
April,2020,Geschlecht,Männer,765
Mai,2019,Geschlecht,Frauen,2202
Mai,2019,Geschlecht,Männer,577
Mai,2020,Geschlecht,Frauen,2166
Mai,2020,Geschlecht,Männer,955
Juni,2019,Geschlecht,Frauen,2166
Juni,2019,Geschlecht,Männer,591
Juni,2020,Geschlecht,Frauen,2170
Juni,2020,Geschlecht,Männer,884
